*  通用时（计算时刻）
*  GPS周，周内秒（计算时刻）
卫星号 POS_X(km) POS_Y(km) POS_Z(km) VEL_X(m/s) VEL_Y(m/s) VEL_Z(m/s) CLK(us) CLK_VEL(us/sec)
注意：卫星号前“B”表示广播星历；卫星位置、钟差等均未经任何改正

*  2021 11 14  7 25  0.00001788
*  2184  26700.00000000
BG05  -8865.327309 -15931.659085 -19425.804117   937.323 -2253.958  1447.877      -61.010820     -0.000000
BG10 -11596.500080  23481.657355  -3215.352027   -97.719  -496.771 -3182.558     -245.763710     -0.000011
BG12 -14636.505043  -3617.728502  21602.371702  1182.240 -2540.269   384.295     -126.089378     -0.000008
BG15 -21364.171554  -5953.766188 -15250.446381  1733.927  -719.951 -2173.062     -106.599122      0.000007
BG18 -13896.843437   6329.597875 -21746.028368 -1643.447 -2212.209   396.758      295.852078     -0.000006
BG21  20981.529849  15587.465008   6872.479189   364.739   712.024 -2977.876      150.954292      0.000007
BG22  13308.824411   9755.595417  21014.838064  -770.854  2520.433  -666.720     -465.230092      0.000011
BG23 -15987.791284  16131.910319 -13720.279708   398.660 -1707.922 -2484.587       33.180227     -0.000005
BG24 -21331.899280 -12968.471604   9365.791791  -604.847 -1101.274 -2777.965      266.817424      0.000005
BG25 -17014.660983   8630.802948  18095.201693   694.587 -2265.539  1735.556      240.322361      0.000003
BG26  -3516.098376  25337.271609  -6614.286252  -606.854   682.082  2993.361      155.171417      0.000002
BG29 -26324.739859   3229.690276  -2003.089033  -262.540  -188.151  3205.425     -440.363966     -0.000005
BG31   2185.259431  21136.234717  15522.833793 -1401.683 -1462.545  2219.837     -150.064604     -0.000005
BG32 -11467.744038  15069.384316  18665.583458 -2350.290   203.567 -1636.252      -21.797357     -0.000004
BC04 -39669.949884  14332.191085   -561.859998    -1.052     3.025     8.794      157.976903      0.000081
BC06  -7375.722384  23582.800455  34147.466268 -1251.490  -250.331  -106.344      485.248257      0.000055
BC09   1232.212492  25529.002913  33905.592410 -1113.760  -590.375   466.683     -265.574568     -0.000029
BC13   3859.750471  38964.588767 -15131.111341   996.478 -1018.377 -2364.462      474.616145      0.000011
BC14 -22505.899689  12863.507959 -10384.316208   752.463  -923.382 -2766.457      536.559584     -0.000017
BC16 -12597.042999  21554.520641  34078.552181 -1300.374   -61.568  -454.789     -723.118860      0.000015
BC24 -17283.144933  -5586.623255  21187.140074  -586.105 -2352.260 -1095.116     -961.635591      0.000005
BC25 -10220.682820  16232.522412  20254.687809  -741.384 -2197.277  1388.625     -824.978278      0.000005
BC32  10407.691507  12050.557456  22923.170609 -1815.004  1885.658  -167.044     -962.224077      0.000003
BC33 -19938.913208  19486.577470  -1330.810211    22.913  -187.984 -3102.933     -973.132124      0.000006
BC39 -17830.355122  20128.044599  32428.863481 -1290.712   252.699  -873.963       34.026084     -0.000000
BC41  -6952.170358  22369.398289  15200.402172 -1265.105  1183.758 -2327.709     -916.355657      0.000001
BC59 -32286.243276  27097.135484    643.709147    -2.125    -0.344    -6.795        0.744411     -0.000000
BC60   7278.262867  41496.334275  -1649.713034    -2.612     0.628   -14.825       -0.301977     -0.000000

*  2021 11 14  7 34 59.99998212
*  2184  27300.00000000
